I,G,C_012,C_120,C_201,H_012,H_120,H_201,ground_truth,choice,confidence
-77.26226987067699,-61.706273189443806,-59.902058474468454,-75.9480483085604,-74.93102319811203,-52.27782628219983,-67.12030107272676,-66.43708969501502,H,C,low
-70.01978349018265,-112.89503271885684,-58.007669981929695,-119.91992350052028,-112.58017651312947,-53.270696628550105,-114.78068400032183,-107.57245861495973,H,H,high
-66.21045112676406,-334.7319990891013,-261.498208137662,-97.90961302998323,-298.90448491644537,-262.69638888486156,-110.76967215684192,-300.90982954694016,I,H,low
-66.11591853523865,-238.75286068064574,-203.09460519272935,-168.3511972483263,-96.93277115657547,-202.62496865872188,-172.47724245325642,-105.01028692704224,I,I,low
-67.0646720231213,-265.99610262434373,-161.14652671390513,-140.71503044433587,-224.7677318972734,-160.44196975755366,-144.38696398230815,-226.3414386463652,I,I,high
-61.142968936945465,-193.65125812551432,-129.4213746741541,-74.56291500386239,-213.9989262465261,-127.71333286646444,-78.39827585218815,-211.39584237411842,I,I,low
-77.24179017221134,-61.68186456126255,-59.88166106899395,-75.92606766909742,-74.90848525551587,-52.25347390363619,-67.09542889314412,-66.41192205972872,H,H,high
-69.28130631117293,-344.40313077941664,-192.65894591249068,-195.3968315102047,-239.11633042587596,-201.84807636556613,-207.71373202517498,-246.21133609073485,I,C,low
-69.57512444206257,-55.4276433506277,-58.724767578042474,-68.90812572981739,-62.83705016777206,-52.39538741498861,-62.460134858489106,-56.414183451116614,H,H,high
-65.47653699978588,-68.92870877337732,-54.030255604400885,-86.1032095244094,-69.25495993622106,-48.11407275615994,-80.0120107429099,-63.67538710573937,H,H,high
-69.23990431898704,-393.89901071399663,-53.05471396044588,-319.0219084504263,-338.11053945024594,-59.66953332622145,-320.3272677100116,-338.821395259728,C,C,high
-66.6388246816557,-142.12107972146782,-51.99307852620884,-148.0586894084916,-120.83114486791133,-54.70775576990831,-147.5687607444368,-121.54957752104997,C,C,low
-68.70882836972842,-55.30105927458233,-55.90772782141686,-66.70732407258069,-74.81596461812342,-49.82967732229425,-60.25240078885586,-68.38078388855034,H,H,high
-72.37548322431627,-43.199363285816005,-61.481557234905104,-63.213048964011726,-63.22057544188721,-50.06825016898828,-51.84409943319357,-51.728622004518414,G,H,low
